City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,San Cristobal,VE,7.7669,-72.225,71.78,75,91,2.06,overcast clouds
276,Raul Soares,BR,-20.1022,-42.4519,86.72,53,27,5.88,scattered clouds
277,Port Moresby,PG,-9.4431,147.1797,80.02,83,40,11.5,scattered clouds
278,Husavik,IS,66.0449,-17.3389,40.39,88,75,7.4,broken clouds
279,Shira,RU,54.4911,89.9531,34.48,65,100,21.5,overcast clouds
280,Pitmedden,GB,57.3369,-2.1802,54.07,98,100,10.36,mist
281,Port Hedland,AU,-20.3167,118.5667,71.65,94,0,6.91,clear sky
282,Avera,US,33.194,-82.5271,44.55,53,89,9.71,overcast clouds
283,Kavieng,PG,-2.5744,150.7967,82.89,78,100,15.97,moderate rain
284,Itacare,BR,-14.2775,-38.9967,82.49,61,97,7.58,overcast clouds
285,Jiwani,PK,25.05,61.7417,80.64,72,0,14.23,clear sky
286,Vostok,RU,46.4856,135.8833,11.57,96,62,3.58,broken clouds
287,Scunthorpe,GB,53.579,-0.6544,55.18,57,95,5.99,overcast clouds
288,Beloha,MG,-25.1667,45.05,73.67,73,3,22.7,clear sky
289,Barinas,VE,8.6226,-70.2075,84.24,70,73,3.44,broken clouds
290,Lompoc,US,34.6391,-120.4579,47.93,89,0,6.91,clear sky
291,Bandipur,NP,27.9333,84.4167,52.65,75,0,2.44,clear sky
292,Weinan,CN,34.5036,109.5089,51.1,46,100,3.51,overcast clouds
293,Khatanga,RU,71.9667,102.5,-23.51,98,100,7.18,overcast clouds
294,Pacific Grove,US,36.6177,-121.9166,48.69,91,0,5.01,clear sky
295,Severnoye,RU,56.3491,78.3619,32.63,98,100,9.48,light snow
296,Lagoa,PT,39.05,-27.9833,61.16,69,100,18.14,overcast clouds
297,Bridlington,GB,54.0831,-0.1919,51.73,98,100,8.99,overcast clouds
298,Chihuahua,MX,28.5,-106.0,31.03,50,54,6.51,broken clouds
299,Chicama,PE,-7.8447,-79.1469,61.34,63,70,6.98,broken clouds
300,Puerto Carreno,CO,6.189,-67.4859,84.18,79,20,5.75,few clouds
301,Tigil,RU,57.8,158.6667,-0.35,98,22,3.94,few clouds
302,Green River,US,41.5286,-109.4662,14.99,47,0,2.44,clear sky
303,Tabuk,PH,17.4189,121.4443,75.29,92,13,3.58,few clouds
